Category,Name,Type,Example,Description
Search Recipes,minIodine,number,0,The minimum amount of iodine in micrograms the recipe must have per serving.
Search Recipes,maxIodine,number,100,The maximum amount of iodine in micrograms the recipe can have per serving.
Search Recipes,minIron,number,0,The minimum amount of iron in milligrams the recipe must have per serving.
Search Recipes,maxIron,number,100,The maximum amount of iron in milligrams the recipe can have per serving.
Search Recipes,minMagnesium,number,0,The minimum amount of magnesium in milligrams the recipe must have per serving.
Search Recipes,maxMagnesium,number,100,The maximum amount of magnesium in milligrams the recipe can have per serving.
Search Recipes,minManganese,number,0,The minimum amount of manganese in milligrams the recipe must have per serving.
Search Recipes,maxManganese,number,100,The maximum amount of manganese in milligrams the recipe can have per serving.
Search Recipes,minPhosphorus,number,0,The minimum amount of phosphorus in milligrams the recipe must have per serving.
Search Recipes,maxPhosphorus,number,100,The maximum amount of phosphorus in milligrams the recipe can have per serving.
Search Recipes,minPotassium,number,0,The minimum amount of potassium in milligrams the recipe must have per serving.
Search Recipes,maxPotassium,number,100,The maximum amount of potassium in milligrams the recipe can have per serving.
Search Recipes,minSelenium,number,0,The minimum amount of selenium in micrograms the recipe must have per serving.
Search Recipes,maxSelenium,number,100,The maximum amount of selenium in micrograms the recipe can have per serving.
Search Recipes,minSodium,number,0,The minimum amount of sodium in milligrams the recipe must have per serving.
Search Recipes,maxSodium,number,100,The maximum amount of sodium in milligrams the recipe can have per serving.
Search Recipes,minSugar,number,0,The minimum amount of sugar in grams the recipe must have per serving.
Search Recipes,maxSugar,number,100,The maximum amount of sugar in grams the recipe can have per serving.
Search Recipes,minZinc,number,0,The minimum amount of zinc in milligrams the recipe must have per serving.
Search Recipes,maxZinc,number,100,The maximum amount of zinc in milligrams the recipe can have per serving.
Search Recipes,offset,number,0,The number of results to skip (between 0 and 900).
Search Recipes,number,number,10,The number of expected results (between 1 and 100).
Get Recipe Information,id,number,716429,The id of the recipe.
Get Recipe Information,includeNutrition,boolean,false,"Include nutrition data in the recipe information. Nutrition data is per serving. If you want the nutrition data for the entire recipe, just multiply by the number of servings."
Get Recipe Information,addWinePairing,boolean,false,Add a wine pairing to the recipe.
Get Recipe Information,addTasteData,boolean,false,Add taste data to the recipe.
Get Recipe Information Bulk,ids,string,"715538,716429",A comma-separated list of recipe ids.
Get Recipe Information Bulk,includeNutrition,boolean,false,"Include nutrition data to the recipe information. Nutrition data is per serving. If you want the nutrition data for the entire recipe, just multiply by the number of servings."
Get Similar Recipes,id,number,715538,The id of the source recipe for which similar recipes should be found.
Get Similar Recipes,number,number,1,The number of random recipes to be returned (between 1 and 100).
Get Random Recipes,includeNutrition,boolean,true,Whether to include nutritional information to returned recipes.
Get Random Recipes,include-tags,string,"vegetarian, dessert","The tags (can be diets, meal types, cuisines, or intolerances) that the recipe must have."
Get Random Recipes,exclude-tags,string,dairy,"The tags (can be diets, meal types, cuisines, or intolerances) that the recipe must NOT have."
Get Random Recipes,number,number,1,The number of random recipes to be returned (between 1 and 100).
Autocomplete Recipe Search,query,string,burger,The query to be autocompleted.
Autocomplete Recipe Search,number,number,10,The number of results to return (between 1 and 25).
Taste by ID,id,number,69095,The recipe id.
Taste by ID,normalize,boolean,false,Normalize to the strongest taste.
Equipment by ID,id,number,1003464,The recipe id.
Price Breakdown by ID,id,number,1003464,The recipe id.
Ingredients by ID,id,number,1003464,The recipe id.
Recipe Nutrition Label Widget,id,number,641166,The recipe id.
Recipe Nutrition Label Widget,defaultCss,boolean,true,Whether the default CSS should be added to the response.
Recipe Nutrition Label Widget,showOptionalNutrients,boolean,false,Whether to show optional nutrients.
Recipe Nutrition Label Widget,showZeroValues,boolean,false,Whether to show zero values.
Recipe Nutrition Label Widget,showIngredients,boolean,false,Whether to show a list of ingredients.
Product Nutrition Label Widget,id,number,22347,The product id.
Product Nutrition Label Widget,defaultCss,boolean,true,Whether the default CSS should be added to the response.
Product Nutrition Label Widget,showOptionalNutrients,boolean,false,Whether to show optional nutrients.
Product Nutrition Label Widget,showZeroValues,boolean,false,Whether to show zero values.
Product Nutrition Label Widget,showIngredients,boolean,false,Whether to show a list of ingredients.
Product Nutrition Label Image,id,number,22347,The product id.
Product Nutrition Label Image,showOptionalNutrients,boolean,false,Whether to show optional nutrients.
Product Nutrition Label Image,showZeroValues,boolean,false,Whether to show zero values.
Product Nutrition Label Image,showIngredients,boolean,false,Whether to show a list of ingredients.
Recipe Nutrition Label Image,id,number,641166,The recipe id.
Recipe Nutrition Label Image,showOptionalNutrients,boolean,false,Whether to show optional nutrients.
Recipe Nutrition Label Image,showZeroValues,boolean,false,Whether to show zero values.
Recipe Nutrition Label Image,showIngredients,boolean,false,Whether to show a list of ingredients.
Nutrition by ID,id,number,1003464,The recipe id.
Get Analyzed Recipe Instructions,id,number,324694,The recipe id.
Get Analyzed Recipe Instructions,stepBreakdown,boolean,true,Whether to break down the recipe steps even more.
Extract Recipe from Website,url,string,https://foodista.com/recipe/ZHK4KPB6/chocolate-crinkle-cookies,The URL of the recipe page.
Extract Recipe from Website,forceExtraction,boolean,true,"If true, the extraction will be triggered whether we already know the recipe or not. Use this only if information is missing as this operation is slower."
Extract Recipe from Website,analyze,boolean,false,"If true, the recipe will be analyzed and classified resolving in more data such as cuisines, dish types, and more."
Extract Recipe from Website,includeNutrition,boolean,false,Whether nutrition data should be added to correctly parsed ingredients.
Extract Recipe from Website,includeTaste,boolean,false,Whether taste data should be added to correctly parsed ingredients.
Ingredients by ID Widget,id,number,1082038,The recipe id.
Ingredients by ID Widget,defaultCss,boolean,true,Whether the default CSS should be added to the response.
Ingredients by ID Widget,measure,string,us,Whether the the measures should be 'us' or 'metric'.
Ingredients by ID Image,id,number,1082038,The recipe id.
Ingredients by ID Image,measure,string,metric,Whether the the measures should be 'us' or 'metric'.
Recipe Taste by ID Widget,id,number,69095,The recipe id.
Recipe Taste by ID Widget,normalize,boolean,false,Normalize to the strongest taste.
Recipe Taste by ID Widget,rgb,string,"75,192,192","Red, green, blue values for the chart color."
Recipe Taste by ID Image,id,number,69095,The recipe id.
Recipe Taste by ID Image,normalize,boolean,false,Normalize to the strongest taste.
Recipe Taste by ID Image,rgb,string,"75,192,192","Red, green, blue values for the chart color."
Equipment by ID Widget,id,number,44860,The recipe id.
Equipment by ID Widget,defaultCss,boolean,true,Whether the default CSS should be added to the response.
Equipment by ID Image,id,number,44860,The recipe id.
Price Breakdown by ID Widget,id,number,1082038,The recipe id.
Price Breakdown by ID Widget,defaultCss,boolean,true,Whether the default CSS should be added to the response.
Price Breakdown by ID Widget,mode,number,1,"The mode in which the widget should be delivered. 1 = separate views (compact), 2 = all in one view (full)."
Price Breakdown by ID Image,id,number,1082038,The recipe id.
Price Breakdown by ID Image,mode,number,1,"The mode in which the widget should be delivered. 1 = separate views (compact), 2 = all in one view (full)."
Recipe Taste Widget,ingredientList,string,1 lemon,"The ingredient list of the recipe, one ingredient per line."
Recipe Taste Widget,normalize,boolean,false,Normalize to the strongest taste.
Recipe Taste Widget,rgb,string,"75,192,192","Red, green, blue values for the chart color."
Recipe Taste Widget,language,string,en,"The input language, either ""en"" or ""de""."
Recipe Nutrition Widget,ingredientList,string,3 oz flour,"The ingredient list of the recipe, one ingredient per line."
Recipe Nutrition Widget,servings,number,2,The number of servings.
Recipe Nutrition Widget,defaultCss,boolean,true,Whether the default CSS should be added to the response.
Recipe Nutrition Widget,showBacklink,boolean,true,"Whether to show a backlink to spoonacular. If set false, this call counts against your quota."
Recipe Nutrition Widget,language,string,en,"The input language, either ""en"" or ""de""."
Price Breakdown Widget,ingredientList,string,3 oz flour,"The ingredient list of the recipe, one ingredient per line."
Price Breakdown Widget,servings,number,2,The number of servings.
